property_type,bhk,area,locality,city,price_in_crore,price_per_sqft,new_resale,age_of_property,bathrooms,carpet_area,floor,balconies,additional_rooms,furnishing_type,facing,amenities,furnish_details
Apartment,3,1695.0,Suraram,Hyderabad,0.66,3899.0,New,Unknown,3,1503.63,5.0,1.0,,Unfurnished,North,"Gymnasium, Lift(s), Intercom, Sports Facility, Swimming Pool, Full Power Backup, Club House, Childrens play area",Gas connection
Apartment,3,1500.0,Hayathnagar,Hyderabad,0.72,4800.0,New,Unknown,3,1330.65,4.0,1.0,,Semi-Furnished,North,,
Apartment,4,3955.0,Nanakramguda,Hyderabad,4.19,10594.0,New,Unknown,4,3508.47,8.0,1.0,,Semi-Furnished,East,,
Apartment,2,1290.0,Vanasthalipuram,Hyderabad,0.75,5800.0,New,Unknown,2,1144.35,1.0,1.0,,Semi-Furnished,East,"Gymnasium, Full Power Backup, Lift(s)",
Apartment,2,1165.0,Bolarum,Hyderabad,0.52,4497.0,New,Unknown,2,1033.47,3.0,1.0,,Unfurnished,East,"Full Power Backup, Lift(s)",Gas connection
Apartment,3,1600.0,Pragathi Nagar Kukatpally,Hyderabad,0.77,4812.0,New,Unknown,3,1419.35,1.0,2.0,,Unfurnished,East,,
Apartment,2,900.0,Padmarao Nagar,Hyderabad,0.46,5111.0,Resale,Unknown,2,798.39,0.0,1.0,,Furnished,East,"Full Power Backup, Lift(s)","BED, Gas connection, Sofa, Refrigerator, AC"
Apartment,3,1650.0,Jubilee Hills,Hyderabad,0.94,5696.0,Resale,Unknown,3,1463.71,2.0,2.0,,Semi-Furnished,East,,
Independent House,4,3450.0,Narsingi,Hyderabad,4.15,12028.0,New,Unknown,4,3060.48,2.0,1.0,,Semi-Furnished,East,,
Apartment,3,1320.0,Serilingampally,Hyderabad,0.7,5303.0,New,Unknown,2,1170.97,7.0,2.0,,Semi-Furnished,West,"Gymnasium, Lift(s), Intercom, Sports Facility, Full Power Backup, Club House, Childrens play area",
Apartment,2,1150.0,Nallagandla Gachibowli,Hyderabad,0.81,7001.0,New,Unknown,2,1020.16,2.0,2.0,,Semi-Furnished,West,"Gymnasium, Full Power Backup, Lift(s)",
Apartment,3,1475.0,Narsingi,Hyderabad,1.03,6999.0,New,Unknown,2,1308.47,5.0,1.0,,Unfurnished,West,"Gymnasium, Lift(s), Intercom, Sports Facility, Swimming Pool, Full Power Backup, Club House, Childrens play area",
Apartment,3,1245.0,Manikonda,Hyderabad,0.87,6990.0,New,Unknown,2,1104.44,10.0,1.0,pooja room,Unfurnished,East,,Gas connection
Villa,4,3070.0,Gundlapochampally,Hyderabad,2.15,7019.0,New,Unknown,4,2723.39,2.0,1.0,,Unfurnished,East,"Club House, Childrens play area",
Villa,3,2406.0,Narsingi,Hyderabad,2.4,9975.0,New,Unknown,3,2134.35,2.0,1.0,pooja room,Unfurnished,East,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Independent House,3,2200.0,Isnapur,Hyderabad,0.98,4454.0,New,Unknown,3,1951.61,2.0,2.0,,Semi-Furnished,North,"Gymnasium, Childrens play area, Full Power Backup",
Apartment,4,6999.0,Kokapet,Hyderabad,9.45,13514.0,Resale,Unknown,4,6208.79,4.0,1.0,,Unfurnished,West,"Gymnasium, Lift(s), Swimming Pool, 24 X 7 Security, Intercom, Indoor Games, Sports Facility, Childrens play area, Full Power Backup, Club House, Vaastu Compliant",
Apartment,2,1350.0,Bachupally,Hyderabad,0.88,6500.0,New,Unknown,2,1197.58,2.0,1.0,,Unfurnished,East,"ATM, Lift(s), Indoor Games, 24 X 7 Security, Rain Water Harvesting, Cafeteria, Maintenance Staff, Gymnasium, Childrens play area, Full Power Backup, Swimming Pool, Club House",
Villa,5,6000.0,Bowenpally,Hyderabad,5.0,8333.0,New,New Property,5,5322.58,2.0,1.0,pooja room,Unfurnished,East,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Independent House,10,7250.0,Malkajgiri,Hyderabad,3.3,4551.0,Resale,Unknown,1,6431.45,2.0,1.0,,Semi-Furnished,NorthEast,Lift(s),
Apartment,3,1580.0,Padmarao Nagar,Hyderabad,1.75,11075.0,New,Unknown,2,1401.61,2.0,1.0,"study room, servant room, pooja room",Unfurnished,North,"Swimming Pool, Lift(s), 24 X 7 Security, Multipurpose Room, Rain Water Harvesting, Intercom, Jogging Track, Indoor Games, Childrens play area, Car Parking, Gymnasium, Club House",
Apartment,3,1540.0,Ameenpur,Hyderabad,0.75,4883.0,New,Unknown,2,1366.13,2.0,1.0,,Unfurnished,East,"Sports Facility, Gymnasium, Childrens play area, 24 X 7 Security, Full Power Backup, Lift(s)",
Apartment,4,2915.0,Moosapet,Hyderabad,2.76,9498.0,New,Unknown,4,2585.89,4.0,1.0,,Unfurnished,NorthEast,"Rain Water Harvesting, Jogging Track, Indoor Games, Swimming Pool, Car Parking, Childrens play area, 24 X 7 Security, Full Power Backup, Gymnasium",
Apartment,2,1150.0,Ameenpur,Hyderabad,0.54,4700.0,New,Unknown,2,1020.16,2.0,2.0,,Unfurnished,West,"Rain Water Harvesting, Intercom, Car Parking, Club House, Vaastu Compliant, Childrens play area, 24 X 7 Security, Full Power Backup, Lift(s)",
Apartment,2,1102.0,Patancheru,Hyderabad,0.5,4537.0,New,Unknown,2,977.58,3.0,1.0,,Unfurnished,West,"Full Power Backup, Lift(s)",Microwave
Apartment,2,1100.0,Bundalguda,Hyderabad,0.69,6272.0,Resale,Moderately New Property,2,975.81,2.0,1.0,pooja room,Unfurnished,West,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Apartment,2,1100.0,Hitech City,Hyderabad,0.9,8181.0,Resale,Moderately New Property,2,975.81,2.0,2.0,pooja room,Unfurnished,West,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Independent Floor,2,900.0,Nizampet Road,Hyderabad,0.6,6666.0,Resale,Moderately New Property,2,798.39,1.0,1.0,pooja room,Unfurnished,West,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Apartment,2,1350.0,Manikonda,Hyderabad,0.98,7259.0,Resale,Moderately New Property,1,1197.58,2.0,1.0,,Unfurnished,SouthEast,"Gymnasium, Lift(s), Swimming Pool, Full Power Backup, Intercom, Jogging Track, Indoor Games, 24 X 7 Security, Car Parking, Childrens play area",
Independent House,6,6500.0,Nanakramguda,Hyderabad,13.0,20000.0,Resale,Unknown,5,5766.13,2.0,1.0,,Furnished,East,,
Apartment,2,1350.0,Kukatpally,Hyderabad,0.52,3851.0,New,Unknown,2,1197.58,2.0,1.0,,Unfurnished,East,"Gymnasium, Lift(s), Intercom, Sports Facility, Swimming Pool, Full Power Backup, Club House, Childrens play area",Gas connection
Independent Floor,2,1000.0,Lallaguda,Hyderabad,0.59,5900.0,Resale,Old Property,2,887.1,1.0,2.0,pooja room,Unfurnished,West,"Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup, Lift(s)",Sofa
Apartment,3,2040.0,Kompally,Hyderabad,1.22,5999.0,New,Unknown,3,1809.68,1.0,1.0,,Unfurnished,East,"Rain Water Harvesting, Car Parking, Lift(s)",
Apartment,2,1325.0,Kondapur,Hyderabad,1.09,8250.0,New,Unknown,2,1175.4,7.0,2.0,,Unfurnished,East,"Swimming Pool, Landscaped Gardens, Multipurpose Room, Rain Water Harvesting, Intercom, Jogging Track, 24 X 7 Security, Car Parking, Gymnasium, Club House, Childrens play area, Lift(s)",
Apartment,2,1390.0,Kondapur,Hyderabad,1.01,7300.0,New,Unknown,2,1233.06,3.0,1.0,,Unfurnished,East,"Swimming Pool, ATM, Lift(s), Cafeteria, Gymnasium, Club House, Childrens play area",
Apartment,2,1250.0,Aminpur,Hyderabad,0.62,4960.0,New,Unknown,2,1108.87,2.0,1.0,,Unfurnished,East,"Gymnasium, Lift(s), Intercom, Sports Facility, Full Power Backup, Club House, Childrens play area",
Apartment,4,5300.0,Hitech City,Hyderabad,6.64,12537.0,Resale,Unknown,4,4701.61,2.0,1.0,,Unfurnished,West,"Sports Facility, ATM, Indoor Games, Lift(s), Cafeteria, Intercom, Jogging Track, Childrens play area, Full Power Backup, Swimming Pool, Gymnasium, Club House",
Apartment,3,1390.0,Pragathi Nagar Kukatpally,Hyderabad,0.99,7104.0,New,Unknown,2,1233.06,1.0,1.0,,Unfurnished,East,"ATM, Lift(s), Indoor Games, Full Power Backup, Vaastu Compliant, Landscaped Gardens, Childrens play area, Multipurpose Room, Rain Water Harvesting, Intercom, Maintenance Staff, Club House, 24 X 7 Security, Car Parking, Swimming Pool, Gymnasium",
Villa,5,2682.0,Attapur,Hyderabad,3.88,14500.0,New,New Property,4,2379.19,2.0,1.0,,Furnished,East,"Swimming Pool, Lift(s), Rain Water Harvesting, Cafeteria, Intercom, Jogging Track, Indoor Games, Car Parking, Gymnasium, Club House, Childrens play area, Sports Facility",
Apartment,4,2708.0,Kokapet,Hyderabad,3.2,11816.0,Resale,Unknown,4,2402.26,4.0,1.0,,Unfurnished,East,"Swimming Pool, Shopping Mall, Lift(s), Full Power Backup, Rain Water Harvesting, Indoor Games, Car Parking, Gymnasium, Club House, Childrens play area",
Villa,3,2200.0,Ameenpur,Hyderabad,2.25,10227.0,Resale,New Property,3,1951.61,2.0,3.0,"study room, servant room, pooja room",Furnished,West,,"Washing Machine, BED, AC, Gas connection, Dining Table, Microwave, Wifi, Wardrobe, Sofa, Refrigerator, TV"
Apartment,2,1175.0,Chandanagar,Hyderabad,0.62,5297.0,New,Unknown,2,1042.34,1.0,1.0,,Unfurnished,East,,
Apartment,2,1615.0,Kondapur,Hyderabad,1.37,8500.0,New,Unknown,2,1432.66,2.0,1.0,,Unfurnished,East,"Swimming Pool, Lift(s), Cafeteria, Intercom, Jogging Track, Indoor Games, Childrens play area, Gymnasium, Club House",
Villa,3,1760.0,Patancheru,Hyderabad,0.65,3693.0,New,Unknown,3,1561.29,2.0,1.0,pooja room,Unfurnished,East,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Apartment,4,3510.0,Puppalaguda,Hyderabad,3.86,11016.0,New,Unknown,3,3113.71,4.0,1.0,,Unfurnished,East,"Gymnasium, Lift(s), Cafeteria, Indoor Games, Car Parking, Childrens play area, Swimming Pool",
Villa,4,3120.0,Bachupally,Hyderabad,4.5,14423.0,Resale,New Property,4,2767.74,2.0,1.0,pooja room,Unfurnished,East,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Independent Floor,2,700.0,Kalasiguda,Hyderabad,0.51,7285.0,Resale,Old Property,2,620.97,2.0,1.0,pooja room,Unfurnished,West,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Villa,3,2772.0,Adibatla,Hyderabad,1.71,6200.0,New,Unknown,3,2459.03,2.0,1.0,,Unfurnished,East,"Swimming Pool, ATM, Rain Water Harvesting, Cafeteria, Intercom, 24 X 7 Security, Car Parking, Gymnasium, Club House, Childrens play area, Full Power Backup",
Independent House,2,990.0,Peerzadiguda,Hyderabad,0.45,4545.0,New,Moderately New Property,2,878.23,2.0,2.0,study room,Unfurnished,East,,
Independent House,2,1250.0,Ameenpur,Hyderabad,1.6,12800.0,New,Unknown,2,1108.87,2.0,1.0,,Unfurnished,East,Car Parking,
Independent House,3,4200.0,Himayat Nagar,Hyderabad,6.0,14285.0,Resale,Unknown,3,3725.81,2.0,1.0,,Semi-Furnished,North,,
Apartment,2,1050.0,Kondapur,Hyderabad,0.8,7619.0,New,Unknown,2,931.45,2.0,1.0,,Unfurnished,East,"Intercom, Full Power Backup",Gas connection
Independent House,2,1250.0,Ameenpur,Hyderabad,1.6,12800.0,New,Unknown,2,1108.87,2.0,2.0,,Unfurnished,East,"Rain Water Harvesting, Car Parking, Vaastu Compliant",
Apartment,2,1253.0,Tellapur,Hyderabad,1.25,9976.0,Resale,New Property,2,1111.53,20.0,1.0,,Unfurnished,East,"Rain Water Harvesting, Car Parking, 24 X 7 Security, Full Power Backup, Lift(s)",
Apartment,4,3333.0,Kokapet,Hyderabad,3.33,10000.0,Resale,Unknown,5,2956.69,4.0,1.0,,Semi-Furnished,NorthEast,"Gymnasium, Lift(s), Swimming Pool, Full Power Backup, Intercom, Indoor Games, Sports Facility, 24 X 7 Security, Car Parking, Club House, Childrens play area",
Apartment,2,1150.0,Ameenpur,Hyderabad,0.57,4999.0,New,Unknown,2,1020.16,2.0,2.0,,Unfurnished,West,"Club House, Lift(s), Intercom, 24 X 7 Security, Car Parking, Vaastu Compliant, Childrens play area, Full Power Backup",
Independent House,2,1200.0,Boduppal,Hyderabad,0.6,5000.0,Resale,Unknown,2,1064.52,2.0,1.0,,Semi-Furnished,East,,
Apartment,2,1170.0,Miyapur,Hyderabad,0.73,6239.0,Resale,Moderately New Property,2,1037.9,3.0,1.0,,Furnished,East,"Gymnasium, Lift(s), Swimming Pool, 24 X 7 Security, Staff Quarter, Rain Water Harvesting, Jogging Track, Childrens play area, Full Power Backup, Club House, Vaastu Compliant",
Apartment,2,1040.0,Attapur,Hyderabad,0.85,8173.0,Resale,New Property,2,922.58,2.0,2.0,,Furnished,East,"Gymnasium, Lift(s), Swimming Pool, Full Power Backup, Sports Facility, Childrens play area, Rain Water Harvesting, Intercom, Indoor Games, Vaastu Compliant, 24 X 7 Security, Car Parking, Club House","BED, Sofa, AC"
Apartment,2,1125.0,Ameenpur,Hyderabad,0.52,4600.0,New,New Property,2,997.98,2.0,1.0,,Unfurnished,West,"Gymnasium, Lift(s), Intercom, Car Parking, Childrens play area, Full Power Backup",
Apartment,4,3705.0,Manchirevula,Hyderabad,2.5,6747.0,New,Unknown,4,3286.69,4.0,1.0,,Unfurnished,East,"Swimming Pool, Lift(s), Sports Facility, Full Power Backup, Rain Water Harvesting, Intercom, Indoor Games, Car Parking, Gymnasium, Club House, Childrens play area",
Apartment,2,1270.0,Velimela,Hyderabad,0.38,2992.0,New,Unknown,2,1126.61,3.0,1.0,study room,Unfurnished,West,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Apartment,3,2190.0,Kondapur,Hyderabad,1.94,8900.0,New,Unknown,3,1942.74,5.0,2.0,,Unfurnished,West,"Swimming Pool, ATM, Sports Facility, Lift(s), Intercom, Jogging Track, Indoor Games, Childrens play area, Full Power Backup, Gymnasium, Club House",
Apartment,2,1050.0,Bachupally,Hyderabad,0.58,5523.0,Resale,Unknown,2,931.45,2.0,1.0,,Furnished,East,,
Apartment,3,2710.0,Kondapur,Hyderabad,2.84,10500.0,New,Unknown,3,2404.03,5.0,1.0,,Unfurnished,East,"Swimming Pool, Landscaped Gardens, Multipurpose Room, Rain Water Harvesting, Intercom, Jogging Track, 24 X 7 Security, Car Parking, Gymnasium, Club House, Childrens play area, Lift(s)",
Apartment,3,1675.0,Tellapur,Hyderabad,1.02,6100.0,New,Unknown,3,1485.89,16.0,2.0,,Unfurnished,East,"Swimming Pool, Lift(s), Sports Facility, Full Power Backup, Indoor Games, Childrens play area, Multipurpose Room, Rain Water Harvesting, Intercom, Jogging Track, Club House, 24 X 7 Security, Car Parking, Gymnasium",
Villa,3,1550.0,Shadnagar,Hyderabad,0.79,5074.0,New,Moderately New Property,3,1375.0,2.0,2.0,,Unfurnished,East,"Jogging Track, ATM, Intercom, Lift(s), Cafeteria, Full Power Backup, Rain Water Harvesting, Childrens play area, Staff Quarter, Club House, Multipurpose Room, Swimming Pool, Indoor Games, Hospital, School, Shopping Mall, Car Parking, Sports Facility, Gymnasium, Vaastu Compliant, 24 X 7 Security","Dining Table, Sofa, Refrigerator"
Apartment,2,1150.0,Ameenpur,Hyderabad,0.57,4999.0,New,Unknown,2,1020.16,2.0,2.0,,Unfurnished,West,"Rain Water Harvesting, Intercom, Car Parking, Vaastu Compliant, Childrens play area, 24 X 7 Security, Full Power Backup, Lift(s)",
Apartment,4,4945.0,Tellapur,Hyderabad,3.65,7400.0,New,Unknown,4,4386.69,2.0,1.0,,Unfurnished,East,"Indoor Games, ATM, Jogging Track, Lift(s), Intercom, Full Power Backup, Golf Course, Childrens play area, Cafeteria, Club House, Swimming Pool, Shopping Mall, Multipurpose Room, Rain Water Harvesting, Sports Facility, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking",
Apartment,2,1446.0,Kollur,Hyderabad,0.61,4200.0,New,New Property,2,1282.74,2.0,1.0,,Unfurnished,East,"Swimming Pool, ATM, Lift(s), Full Power Backup, Indoor Games, Childrens play area, Jogging Track, Club House, Shopping Mall, Multipurpose Room, Cafeteria, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking",
Villa,3,4000.0,Mokila,Hyderabad,3.6,9000.0,Resale,Unknown,3,3548.39,2.0,1.0,,Semi-Furnished,West,,
Independent House,3,1350.0,Krishna Reddy Pet,Hyderabad,1.08,8034.0,New,Unknown,3,1197.58,2.0,2.0,,Unfurnished,East,"Multipurpose Room, Cafeteria, Jogging Track, Indoor Games, Swimming Pool, Gymnasium, Club House, Childrens play area, ATM",
Apartment,4,2695.0,Puppalaguda,Hyderabad,1.53,5677.0,New,Unknown,3,2390.73,4.0,1.0,,Unfurnished,East,"Gymnasium, Lift(s), Intercom, Sports Facility, Swimming Pool, Full Power Backup, Club House, Childrens play area",Gas connection
Apartment,3,1501.0,Narsingi,Hyderabad,0.93,6200.0,New,Unknown,3,1331.53,5.0,1.0,,Unfurnished,East,"Intercom, Full Power Backup, Lift(s)",
Apartment,2,1125.0,Gajulramaram Kukatpally,Hyderabad,0.58,5150.0,New,Unknown,2,997.98,2.0,1.0,,Unfurnished,East,"Gymnasium, Club House, Childrens play area, Full Power Backup, Lift(s)",
Independent House,4,2650.0,Dammaiguda,Hyderabad,1.25,4716.0,New,Unknown,4,2350.81,2.0,1.0,,Unfurnished,East,,
Apartment,2,1004.0,As Rao Nagar,Hyderabad,0.44,4382.0,Resale,Moderately New Property,2,890.65,1.0,1.0,,Unfurnished,West,"Intercom, Full Power Backup, Childrens play area, Lift(s)",
Villa,5,8214.0,Narsingi,Hyderabad,7.64,9301.0,New,Unknown,5,7286.61,2.0,1.0,,Unfurnished,West,"Sports Facility, Shopping Mall, Indoor Games, Lift(s), Jogging Track, Full Power Backup, Intercom, Childrens play area, Golf Course, Club House, Swimming Pool, Landscaped Gardens, Multipurpose Room, Rain Water Harvesting, Cafeteria, Car Parking, Gymnasium, Vaastu Compliant, 24 X 7 Security",Wifi
Apartment,3,1680.0,Deluxe Colony,Hyderabad,0.76,4541.0,Resale,Unknown,3,1490.32,2.0,1.0,"study room, servant room, pooja room",Unfurnished,NorthEast,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, Childrens play area, 24 X 7 Security, Full Power Backup","Gas connection, Dining Table, Microwave, Wifi, Sofa, Refrigerator, Washing Machine"
Apartment,4,3775.0,Kokapet,Hyderabad,3.77,10000.0,New,Unknown,4,3348.79,4.0,1.0,,Unfurnished,East,"Swimming Pool, Lift(s), Rain Water Harvesting, Maintenance Staff, Indoor Games, Club House, Vaastu Compliant, 24 X 7 Security",
Villa,3,2340.0,Patancheru,Hyderabad,1.12,4800.0,New,Unknown,3,2075.81,2.0,1.0,,Semi-Furnished,East,,
Independent House,3,1340.0,Sadashivpet,Hyderabad,0.53,3950.0,New,Unknown,3,1188.71,2.0,1.0,pooja room,Unfurnished,West,"Rain Water Harvesting, Intercom, Jogging Track, Indoor Games, Car Parking, Club House, Vaastu Compliant, Childrens play area, 24 X 7 Security, Gymnasium",
Apartment,3,2540.0,Kokapet,Hyderabad,2.03,8000.0,New,New Property,3,2253.23,2.0,1.0,"study room, servant room, pooja room",Unfurnished,East,"Car Parking, Multipurpose Room, Indoor Games, Lift(s), Jogging Track, 24 X 7 Security, Maintenance Staff, Vaastu Compliant, Gymnasium, Staff Quarter, Rain Water Harvesting, Cafeteria, Intercom, Swimming Pool, Club House, Childrens play area, Full Power Backup",
Independent House,3,1900.0,Malkajgiri,Hyderabad,0.9,4736.0,Resale,Unknown,2,1685.48,2.0,1.0,,Unfurnished,South,Car Parking,
Apartment,2,1456.0,Kondapur,Hyderabad,1.04,7200.0,New,Unknown,2,1291.61,17.0,1.0,,Unfurnished,East,"Swimming Pool, Lift(s), Intercom, Indoor Games, Full Power Backup, Gymnasium, Club House, Childrens play area, 24 X 7 Security",
Apartment,3,1677.0,Miyapur,Hyderabad,1.14,6799.0,New,Unknown,3,1487.66,7.0,1.0,,Unfurnished,East,"Gymnasium, ATM, Swimming Pool, Lift(s), Full Power Backup, Jogging Track, Indoor Games, Car Parking, Club House, Childrens play area",
Independent House,4,3600.0,Yapral,Hyderabad,2.25,6250.0,New,Unknown,5,3193.55,2.0,1.0,,Unfurnished,West,,
Apartment,3,1995.0,Lb Nagar,Hyderabad,1.9,9523.0,New,New Property,3,1769.76,7.0,1.0,,Unfurnished,East,"Sports Facility, ATM, Indoor Games, Lift(s), Jogging Track, Full Power Backup, Maintenance Staff, Childrens play area, Club House, Multipurpose Room, Cafeteria, Intercom, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking, Swimming Pool",
Independent House,4,2300.0,Beeramguda,Hyderabad,1.55,6739.0,New,New Property,5,2040.32,2.0,1.0,pooja room,Unfurnished,North,,
Apartment,2,1145.0,Osman Nagar,Hyderabad,0.66,5800.0,New,Unknown,1,1015.73,2.0,2.0,,Unfurnished,East,"Swimming Pool, Lift(s), Rain Water Harvesting, Intercom, Jogging Track, Indoor Games, Car Parking, Gymnasium, Club House, Childrens play area",
Apartment,2,1000.0,Annajiguda,Hyderabad,0.42,4200.0,New,New Property,2,887.1,2.0,1.0,pooja room,Unfurnished,East,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Villa,5,6000.0,Harshaguda,Hyderabad,5.82,9700.0,New,Unknown,5,5322.58,2.0,1.0,,Unfurnished,East,"Swimming Pool, Lift(s), Sports Facility, Full Power Backup, Rain Water Harvesting, Maintenance Staff, Indoor Games, 24 X 7 Security, Car Parking, Gymnasium, Club House, Childrens play area",
Independent House,2,990.0,Katedan Industrial Area,Hyderabad,0.67,6767.0,New,New Property,2,878.23,2.0,1.0,,Unfurnished,East,,
Apartment,3,1650.0,Kondapur,Hyderabad,1.13,6848.0,New,Unknown,3,1463.71,5.0,2.0,,Unfurnished,North,"Sports Facility, Childrens play area, Full Power Backup, Lift(s)",
Apartment,3,2100.0,Kokapet,Hyderabad,1.57,7499.0,New,Unknown,3,1862.9,5.0,1.0,,Unfurnished,East,"Car Parking, Cafeteria, Shopping Mall, Intercom, Maintenance Staff, Jogging Track, Indoor Games, 24 X 7 Security, Swimming Pool, Gymnasium, Childrens play area",
Apartment,2,1325.0,Kondapur,Hyderabad,1.45,10943.0,Resale,Unknown,2,1175.4,2.0,2.0,,Unfurnished,East,"Swimming Pool, Landscaped Gardens, Multipurpose Room, Rain Water Harvesting, Intercom, Jogging Track, 24 X 7 Security, Car Parking, Gymnasium, Club House, Childrens play area, Lift(s)",
Apartment,2,1250.0,Kondapur,Hyderabad,0.86,6880.0,New,Unknown,2,1108.87,2.0,1.0,,Unfurnished,East,"Gymnasium, Lift(s), Intercom, Sports Facility, Swimming Pool, Full Power Backup, Club House, Childrens play area",Gas connection
Villa,3,1900.0,Nandigama,Hyderabad,0.74,3894.0,New,Unknown,3,1685.48,2.0,1.0,pooja room,Unfurnished,East,,
Apartment,2,1200.0,Miyapur,Hyderabad,0.8,6666.0,New,Unknown,2,1064.52,3.0,1.0,,Unfurnished,East,"Indoor Games, Shopping Mall, Jogging Track, Lift(s), Maintenance Staff, Full Power Backup, Intercom, Childrens play area, Golf Course, Club House, Swimming Pool, Landscaped Gardens, Multipurpose Room, Rain Water Harvesting, Cafeteria, Sports Facility, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking",Gas connection
Apartment,3,1475.0,East Marredpally,Hyderabad,1.6,10847.0,Resale,Moderately New Property,2,1308.47,5.0,1.0,,Furnished,NorthEast,"Full Power Backup, Lift(s)",
Apartment,2,1270.0,Nizampet,Hyderabad,0.93,7300.0,New,New Property,2,1126.61,2.0,1.0,,Unfurnished,East,"Gymnasium, Lift(s), Swimming Pool, Full Power Backup, Rain Water Harvesting, Indoor Games, 24 X 7 Security, Car Parking, Club House, Childrens play area",
Independent Floor,2,1100.0,Miyapur,Hyderabad,1.0,9090.0,Resale,Unknown,1,975.81,1.0,1.0,,Semi-Furnished,North,,
Apartment,2,1085.0,Hyderguda,Hyderabad,0.7,6451.0,Resale,Unknown,2,962.5,2.0,1.0,,Semi-Furnished,East,,
