property_type,bhk,area,society_name,locality,city,price_in_crore,price_per_sqft,status,new_resale,price_negotiable,age_of_property,bathrooms,carpet_area,floor,booking_amount,balconies,additional_rooms,security_deposit,furnishing_type,facing,overlooking,ownership_type,amenities,furnish_details
Apartment,3,1580.0,Bridge Paramount,Padmarao Nagar,Hyderabad,1.75,11075.0,Ready to move,New,Yes,Unknown,2.0,1401.61,2.0,200000.0,1.0,"study room, servant room, pooja room",No Deposit,Unfurnished,North,,,"Swimming Pool, Lift(s), 24 X 7 Security, Multipurpose Room, Rain Water Harvesting, Intercom, Jogging Track, Indoor Games, Childrens play area, Car Parking, Gymnasium, Club House",
Apartment,3,1540.0,Bommarillu Brindavan,Ameenpur,Hyderabad,0.75,4883.0,Under Construction,New,No,Unknown,2.0,1366.13,,,,,No Deposit,Unfurnished,East,,,"Sports Facility, Gymnasium, Childrens play area, 24 X 7 Security, Full Power Backup, Lift(s)",
Apartment,4,2915.0,Vasavi Sarovar,Moosapet,Hyderabad,2.76,9498.0,Under Construction,New,No,Unknown,,2585.89,,,,,No Deposit,Unfurnished,,,,"Rain Water Harvesting, Jogging Track, Indoor Games, Swimming Pool, Car Parking, Childrens play area, 24 X 7 Security, Full Power Backup, Gymnasium",
Apartment,2,1150.0,,Ameenpur,Hyderabad,0.54,4700.0,Under Construction,New,Yes,Unknown,2.0,1020.16,2.0,500000.0,2.0,,No Deposit,Unfurnished,West,Road View,Freehold,"Rain Water Harvesting, Intercom, Car Parking, Club House, Vaastu Compliant, Childrens play area, 24 X 7 Security, Full Power Backup, Lift(s)",
Apartment,2,1102.0,,Patancheru,Hyderabad,0.5,4537.0,Under Construction,New,No,Unknown,2.0,977.58,,,,,No Deposit,Unfurnished,West,,,"Full Power Backup, Lift(s)",Microwave
Apartment,2,1100.0,,Bundalguda,Hyderabad,0.69,6272.0,Ready to move,Resale,Yes,Moderately New Property,2.0,975.81,2.0,500000.0,1.0,pooja room,No Deposit,Unfurnished,West,Road View,Freehold,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Apartment,2,1100.0,,Hitech City,Hyderabad,0.9,8181.0,Ready to move,Resale,Yes,Moderately New Property,2.0,975.81,2.0,600000.0,2.0,pooja room,No Deposit,Unfurnished,West,Garden View,Freehold,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Independent Floor,2,900.0,,Nizampet Road,Hyderabad,0.6,6666.0,Ready to move,Resale,Yes,Moderately New Property,2.0,798.39,1.0,500000.0,1.0,pooja room,No Deposit,Unfurnished,West,Road View,Freehold,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Apartment,2,1350.0,Anuhar Purple Tunes,Manikonda,Hyderabad,0.98,7259.0,Ready to move,Resale,No,Moderately New Property,1.0,1197.58,,,,,No Deposit,Unfurnished,SouthEast,,,"Gymnasium, Lift(s), Swimming Pool, Full Power Backup, Intercom, Jogging Track, Indoor Games, 24 X 7 Security, Car Parking, Childrens play area",
Independent House,6,6500.0,,Nanakramguda,Hyderabad,13.0,20000.0,Ready to move,Resale,No,Unknown,5.0,5766.13,,,,,No Deposit,Furnished,,,,,
Apartment,2,1350.0,,Kukatpally,Hyderabad,0.52,3851.0,Under Construction,New,No,Unknown,2.0,1197.58,,,,,No Deposit,Unfurnished,East,,,"Gymnasium, Lift(s), Intercom, Sports Facility, Swimming Pool, Full Power Backup, Club House, Childrens play area",Gas connection
Independent Floor,2,1000.0,,Lallaguda,Hyderabad,0.59,5900.0,Ready to move,Resale,Yes,Old Property,2.0,887.1,1.0,500000.0,2.0,pooja room,No Deposit,Unfurnished,West,Road View,Freehold,"Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup, Lift(s)",Sofa
Apartment,3,2040.0,Sri North Crest,Kompally,Hyderabad,1.22,5999.0,Under Construction,New,No,Unknown,,1809.68,,,,,No Deposit,Unfurnished,,,,"Rain Water Harvesting, Car Parking, Lift(s)",
Apartment,2,1325.0,Sumadhura Horizon,Kondapur,Hyderabad,1.09,8250.0,Under Construction,New,Yes,Unknown,2.0,1175.4,7.0,,,,No Deposit,Unfurnished,,,Freehold,"Swimming Pool, Landscaped Gardens, Multipurpose Room, Rain Water Harvesting, Intercom, Jogging Track, 24 X 7 Security, Car Parking, Gymnasium, Club House, Childrens play area, Lift(s)",
Apartment,2,1390.0,Indis Viva City,Kondapur,Hyderabad,1.01,7300.0,Under Construction,New,Yes,Unknown,2.0,1233.06,3.0,,,,No Deposit,Unfurnished,,,Freehold,"Swimming Pool, ATM, Lift(s), Cafeteria, Gymnasium, Club House, Childrens play area",
Apartment,2,1250.0,,Aminpur,Hyderabad,0.62,4960.0,Under Construction,New,No,Unknown,2.0,1108.87,,,,,No Deposit,Unfurnished,East,,,"Gymnasium, Lift(s), Intercom, Sports Facility, Full Power Backup, Club House, Childrens play area",
Apartment,4,5300.0,Aurobindo The Pearl Phase I,Hitech City,Hyderabad,6.64,12537.0,Under Construction,Resale,No,Unknown,4.0,4701.61,,,,,No Deposit,Unfurnished,West,,,"Sports Facility, ATM, Indoor Games, Lift(s), Cafeteria, Intercom, Jogging Track, Childrens play area, Full Power Backup, Swimming Pool, Gymnasium, Club House",
Apartment,3,1390.0,Ramky One Harmony,Pragathi Nagar Kukatpally,Hyderabad,0.99,7104.0,Under Construction,New,No,Unknown,,1233.06,,,,,No Deposit,Unfurnished,,,,"ATM, Lift(s), Indoor Games, Full Power Backup, Vaastu Compliant, Landscaped Gardens, Childrens play area, Multipurpose Room, Rain Water Harvesting, Intercom, Maintenance Staff, Club House, 24 X 7 Security, Car Parking, Swimming Pool, Gymnasium",
Villa,5,2682.0,Dev Signature Villas,Attapur,Hyderabad,3.88,14500.0,Ready to move,New,No,New Property,4.0,2379.19,,,,,No Deposit,Furnished,,,,"Swimming Pool, Lift(s), Rain Water Harvesting, Cafeteria, Intercom, Jogging Track, Indoor Games, Car Parking, Gymnasium, Club House, Childrens play area, Sports Facility",
Apartment,4,2708.0,Prestige Beverly Hills,Kokapet,Hyderabad,3.2,11816.0,Under Construction,Resale,No,Unknown,4.0,2402.26,,,,,No Deposit,Unfurnished,,,,"Swimming Pool, Shopping Mall, Lift(s), Full Power Backup, Rain Water Harvesting, Indoor Games, Car Parking, Gymnasium, Club House, Childrens play area",
Villa,3,2200.0,,Ameenpur,Hyderabad,2.25,10227.0,Ready to move,Resale,No,New Property,3.0,1951.61,,500000.0,3.0,"study room, servant room, pooja room",No Deposit,Furnished,West,"Garden View, Pool View, Road View",Freehold,,"Washing Machine, BED, AC, Gas connection, Dining Table, Microwave, Wifi, Wardrobe, Sofa, Refrigerator, TV"
Apartment,2,1175.0,,Chandanagar,Hyderabad,0.62,5297.0,Ready to move,New,No,Unknown,2.0,1042.34,,,,,No Deposit,Unfurnished,East,,,,
Apartment,2,1615.0,Technopolis Solitaire Unity,Kondapur,Hyderabad,1.37,8500.0,Under Construction,New,No,Unknown,,1432.66,,,,,No Deposit,Unfurnished,,,,"Swimming Pool, Lift(s), Cafeteria, Intercom, Jogging Track, Indoor Games, Childrens play area, Gymnasium, Club House",
Villa,3,1760.0,,Patancheru,Hyderabad,0.65,3693.0,Under Construction,New,Yes,Unknown,3.0,1561.29,,900000.0,1.0,pooja room,No Deposit,Unfurnished,East,Garden View,Freehold,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Apartment,4,3510.0,Raghuram Pradeep Constructions The Vue Residences,Puppalaguda,Hyderabad,3.86,11016.0,Under Construction,New,No,Unknown,3.0,3113.71,,,,,No Deposit,Unfurnished,,,,"Gymnasium, Lift(s), Cafeteria, Indoor Games, Car Parking, Childrens play area, Swimming Pool",
Villa,4,3120.0,,Bachupally,Hyderabad,4.5,14423.0,Ready to move,Resale,Yes,New Property,4.0,2767.74,,1000000.0,1.0,pooja room,No Deposit,Unfurnished,East,Garden View,Freehold,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Independent Floor,2,700.0,,Kalasiguda,Hyderabad,0.51,7285.0,Ready to move,Resale,Yes,Old Property,2.0,620.97,2.0,500000.0,1.0,pooja room,No Deposit,Unfurnished,West,Road View,Freehold,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Villa,3,2772.0,Amr Aditya Ilika,Adibatla,Hyderabad,1.71,6200.0,Under Construction,New,No,Unknown,,2459.03,,,,,No Deposit,Unfurnished,,,,"Swimming Pool, ATM, Rain Water Harvesting, Cafeteria, Intercom, 24 X 7 Security, Car Parking, Gymnasium, Club House, Childrens play area, Full Power Backup",
Independent House,2,990.0,,Peerzadiguda,Hyderabad,0.45,4545.0,Ready to move,New,Yes,Moderately New Property,2.0,878.23,,100000.0,2.0,study room,No Deposit,Unfurnished,East,,Freehold,,
Independent House,2,1250.0,,Ameenpur,Hyderabad,1.6,12800.0,Under Construction,New,Yes,Unknown,2.0,1108.87,,1000000.0,1.0,,No Deposit,Unfurnished,East,Road View,Freehold,Car Parking,
Independent House,3,4200.0,,Himayat Nagar,Hyderabad,6.0,14285.0,Ready to move,Resale,No,Unknown,3.0,3725.81,,,,,No Deposit,Semi-Furnished,North,,,,
Apartment,2,1050.0,Mahathi Jaswitha Cyber Connect,Kondapur,Hyderabad,0.8,7619.0,Under Construction,New,No,Unknown,2.0,931.45,,,,,No Deposit,Unfurnished,East,,,"Intercom, Full Power Backup",Gas connection
Independent House,2,1250.0,,Ameenpur,Hyderabad,1.6,12800.0,Under Construction,New,Yes,Unknown,2.0,1108.87,,1000000.0,2.0,,No Deposit,Unfurnished,East,Road View,Freehold,"Rain Water Harvesting, Car Parking, Vaastu Compliant",
Apartment,2,1253.0,My Home Tridasa,Tellapur,Hyderabad,1.25,9976.0,Ready to move,Resale,No,New Property,2.0,1111.53,20.0,500000.0,,,No Deposit,Unfurnished,East,,,"Rain Water Harvesting, Car Parking, 24 X 7 Security, Full Power Backup, Lift(s)",
Apartment,4,3333.0,Dsr Ssc The Classe,Kokapet,Hyderabad,3.33,10000.0,Ready to move,Resale,No,Unknown,5.0,2956.69,,,,,No Deposit,Semi-Furnished,NorthEast,,,"Gymnasium, Lift(s), Swimming Pool, Full Power Backup, Intercom, Indoor Games, Sports Facility, 24 X 7 Security, Car Parking, Club House, Childrens play area",
Apartment,2,1150.0,,Ameenpur,Hyderabad,0.57,4999.0,Under Construction,New,Yes,Unknown,2.0,1020.16,2.0,500000.0,2.0,,No Deposit,Unfurnished,West,Road View,Freehold,"Club House, Lift(s), Intercom, 24 X 7 Security, Car Parking, Vaastu Compliant, Childrens play area, Full Power Backup",
Independent House,2,1200.0,,Boduppal,Hyderabad,0.6,5000.0,Ready to move,Resale,No,Unknown,2.0,1064.52,,,,,No Deposit,Semi-Furnished,,,,,
Apartment,2,1170.0,Divya Dhivya Shree Shakthi,Miyapur,Hyderabad,0.73,6239.0,Ready to move,Resale,No,Moderately New Property,2.0,1037.9,,,,,No Deposit,Furnished,,,,"Gymnasium, Lift(s), Swimming Pool, 24 X 7 Security, Staff Quarter, Rain Water Harvesting, Jogging Track, Childrens play area, Full Power Backup, Club House, Vaastu Compliant",
Apartment,2,1040.0,Kedia Sunrise Towers,Attapur,Hyderabad,0.85,8173.0,Ready to move,Resale,No,New Property,2.0,922.58,,,,,No Deposit,Furnished,,,,"Gymnasium, Lift(s), Swimming Pool, Full Power Backup, Sports Facility, Childrens play area, Rain Water Harvesting, Intercom, Indoor Games, Vaastu Compliant, 24 X 7 Security, Car Parking, Club House","BED, Sofa, AC"
Apartment,2,1125.0,Vr Elite Royal Grand,Ameenpur,Hyderabad,0.52,4600.0,Ready to move,New,No,New Property,,997.98,,,,,No Deposit,Unfurnished,,,,"Gymnasium, Lift(s), Intercom, Car Parking, Childrens play area, Full Power Backup",
Apartment,4,3705.0,Rajapushpa Infina,Manchirevula,Hyderabad,2.5,6747.0,Under Construction,New,No,Unknown,4.0,3286.69,,,,,No Deposit,Unfurnished,East,,,"Swimming Pool, Lift(s), Sports Facility, Full Power Backup, Rain Water Harvesting, Intercom, Indoor Games, Car Parking, Gymnasium, Club House, Childrens play area",
Apartment,2,1270.0,,Velimela,Hyderabad,0.38,2992.0,Under Construction,New,Yes,Unknown,2.0,1126.61,3.0,500000.0,1.0,study room,No Deposit,Unfurnished,West,Road View,Freehold,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, 24 X 7 Security, Full Power Backup",Sofa
Apartment,3,2190.0,Stellar Rnp 1,Kondapur,Hyderabad,1.94,8900.0,Ready to move,New,No,Unknown,3.0,1942.74,,,,,No Deposit,Unfurnished,West,,,"Swimming Pool, ATM, Sports Facility, Lift(s), Intercom, Jogging Track, Indoor Games, Childrens play area, Full Power Backup, Gymnasium, Club House",
Apartment,2,1050.0,,Bachupally,Hyderabad,0.58,5523.0,Ready to move,Resale,No,Unknown,2.0,931.45,,,,,No Deposit,Furnished,East,,,,
Apartment,3,2710.0,Sumadhura Horizon,Kondapur,Hyderabad,2.84,10500.0,Under Construction,New,No,Unknown,,2404.03,,,,,No Deposit,Unfurnished,,,,"Swimming Pool, Landscaped Gardens, Multipurpose Room, Rain Water Harvesting, Intercom, Jogging Track, 24 X 7 Security, Car Parking, Gymnasium, Club House, Childrens play area, Lift(s)",
Apartment,3,1675.0,Aastha Gardenia,Tellapur,Hyderabad,1.02,6100.0,Under Construction,New,No,Unknown,3.0,1485.89,,,,,No Deposit,Unfurnished,East,,,"Swimming Pool, Lift(s), Sports Facility, Full Power Backup, Indoor Games, Childrens play area, Multipurpose Room, Rain Water Harvesting, Intercom, Jogging Track, Club House, 24 X 7 Security, Car Parking, Gymnasium",
Villa,3,1550.0,Csk Green Villas,Shadnagar,Hyderabad,0.79,5074.0,Ready to move,New,Yes,Moderately New Property,3.0,1375.0,,87600.0,,,No Deposit,Unfurnished,,"Corner, Garden View, Pool View, Road View",Freehold,"Jogging Track, ATM, Intercom, Lift(s), Cafeteria, Full Power Backup, Rain Water Harvesting, Childrens play area, Staff Quarter, Club House, Multipurpose Room, Swimming Pool, Indoor Games, Hospital, School, Shopping Mall, Car Parking, Sports Facility, Gymnasium, Vaastu Compliant, 24 X 7 Security","Dining Table, Sofa, Refrigerator"
Apartment,2,1150.0,,Ameenpur,Hyderabad,0.57,4999.0,Under Construction,New,Yes,Unknown,2.0,1020.16,2.0,200000.0,2.0,,No Deposit,Unfurnished,West,Road View,Freehold,"Rain Water Harvesting, Intercom, Car Parking, Vaastu Compliant, Childrens play area, 24 X 7 Security, Full Power Backup, Lift(s)",
Apartment,4,4945.0,Aliens Space Station,Tellapur,Hyderabad,3.65,7400.0,Under Construction,New,No,Unknown,,4386.69,,,,,No Deposit,Unfurnished,,,,"Indoor Games, ATM, Jogging Track, Lift(s), Intercom, Full Power Backup, Golf Course, Childrens play area, Cafeteria, Club House, Swimming Pool, Shopping Mall, Multipurpose Room, Rain Water Harvesting, Sports Facility, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking",
Apartment,2,1446.0,Asrithas Jewels County,Kollur,Hyderabad,0.61,4200.0,Ready to move,New,No,New Property,2.0,1282.74,,,,,No Deposit,Unfurnished,,,,"Swimming Pool, ATM, Lift(s), Full Power Backup, Indoor Games, Childrens play area, Jogging Track, Club House, Shopping Mall, Multipurpose Room, Cafeteria, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking",
Villa,3,4000.0,,Mokila,Hyderabad,3.6,9000.0,Ready to move,Resale,No,Unknown,3.0,3548.39,,,,,No Deposit,Semi-Furnished,West,,,,
Independent House,3,1350.0,Sri Aditya Squares Tech Homes,Krishna Reddy Pet,Hyderabad,1.08,8034.0,Under Construction,New,No,Unknown,,1197.58,,,,,No Deposit,Unfurnished,,,,"Multipurpose Room, Cafeteria, Jogging Track, Indoor Games, Swimming Pool, Gymnasium, Club House, Childrens play area, ATM",
Apartment,4,2695.0,,Puppalaguda,Hyderabad,1.53,5677.0,Under Construction,New,No,Unknown,3.0,2390.73,,,,,No Deposit,Unfurnished,East,,,"Gymnasium, Lift(s), Intercom, Sports Facility, Swimming Pool, Full Power Backup, Club House, Childrens play area",Gas connection
Apartment,3,1501.0,,Narsingi,Hyderabad,0.93,6200.0,Under Construction,New,No,Unknown,3.0,1331.53,,,,,No Deposit,Unfurnished,East,,,"Intercom, Full Power Backup, Lift(s)",
Apartment,2,1125.0,Adasada Elite Homes,Gajulramaram Kukatpally,Hyderabad,0.58,5150.0,Under Construction,New,No,Unknown,2.0,997.98,,,,,No Deposit,Unfurnished,East,,,"Gymnasium, Club House, Childrens play area, Full Power Backup, Lift(s)",
Independent House,4,2650.0,,Dammaiguda,Hyderabad,1.25,4716.0,Ready to move,New,No,Unknown,4.0,2350.81,,,,,No Deposit,Unfurnished,East,,,,
Apartment,2,1004.0,,As Rao Nagar,Hyderabad,0.44,4382.0,Ready to move,Resale,No,Moderately New Property,2.0,890.65,,,,,No Deposit,Unfurnished,West,,,"Intercom, Full Power Backup, Childrens play area, Lift(s)",
Villa,5,8214.0,Vessella Meadows,Narsingi,Hyderabad,7.64,9301.0,Under Construction,New,Yes,Unknown,5.0,7286.61,,500000.0,,,No Deposit,Unfurnished,West,"Garden View, Pool View, Road View",Freehold,"Sports Facility, Shopping Mall, Indoor Games, Lift(s), Jogging Track, Full Power Backup, Intercom, Childrens play area, Golf Course, Club House, Swimming Pool, Landscaped Gardens, Multipurpose Room, Rain Water Harvesting, Cafeteria, Car Parking, Gymnasium, Vaastu Compliant, 24 X 7 Security",Wifi
Apartment,3,1680.0,Afeef Homes,Deluxe Colony,Hyderabad,0.76,4541.0,Ready to move,Resale,Yes,Unknown,3.0,1490.32,,82000.0,,"study room, servant room, pooja room",No Deposit,Unfurnished,,"Corner, Garden View, Pool View, Road View",Freehold,"Landscaped Gardens, Lift(s), Swimming Pool, Gymnasium, Car Parking, Childrens play area, 24 X 7 Security, Full Power Backup","Gas connection, Dining Table, Microwave, Wifi, Sofa, Refrigerator, Washing Machine"
Apartment,4,3775.0,Lansum Elena,Kokapet,Hyderabad,3.77,10000.0,Under Construction,New,No,Unknown,4.0,3348.79,,,,,No Deposit,Unfurnished,,,,"Swimming Pool, Lift(s), Rain Water Harvesting, Maintenance Staff, Indoor Games, Club House, Vaastu Compliant, 24 X 7 Security",
Villa,3,2340.0,,Patancheru,Hyderabad,1.12,4800.0,Under Construction,New,No,Unknown,3.0,2075.81,,,,,No Deposit,Semi-Furnished,,,,,
Independent House,3,1340.0,,Sadashivpet,Hyderabad,0.53,3950.0,Under Construction,New,No,Unknown,3.0,1188.71,,500000.0,,pooja room,No Deposit,Unfurnished,West,"Road View, Garden View",Freehold,"Rain Water Harvesting, Intercom, Jogging Track, Indoor Games, Car Parking, Club House, Vaastu Compliant, Childrens play area, 24 X 7 Security, Gymnasium",
Apartment,3,2540.0,Ncc Urban One,Kokapet,Hyderabad,2.03,8000.0,Ready to move,New,Yes,New Property,3.0,2253.23,2.0,,,"study room, servant room, pooja room",No Deposit,Unfurnished,,,Freehold,"Car Parking, Multipurpose Room, Indoor Games, Lift(s), Jogging Track, 24 X 7 Security, Maintenance Staff, Vaastu Compliant, Gymnasium, Staff Quarter, Rain Water Harvesting, Cafeteria, Intercom, Swimming Pool, Club House, Childrens play area, Full Power Backup",
Independent House,3,1900.0,,Malkajgiri,Hyderabad,0.9,4736.0,Ready to move,Resale,No,Unknown,2.0,1685.48,,180000.0,,,No Deposit,Unfurnished,South,,Freehold,Car Parking,
